"emtak","tegevusala"
266,"Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine"
2660,"Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine"
26601,"Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine"
267,"Optikainstrumentide ja fotoseadmete tootmine"
2670,"Optikainstrumentide ja fotoseadmete tootmine"
26701,"Optikainstrumentide ja fotoseadmete tootmine"
268,"Magnet- ja optiliste andmekandjate tootmine"
2680,"Magnet- ja optiliste andmekandjate tootmine"
26801,"Magnet- ja optiliste andmekandjate tootmine"
27,"Elektriseadmete tootmine"
271,"Elektrimootorite, -generaatorite, trafode ja elektrijaotusseadmete ning juhtaparatuuri tootmine"
2711,"Elektrimootorite, -generaatorite ja trafode tootmine"
27111,"Elektrimootorite, -generaatorite ja trafode tootmine"
2712,"Elektrijaotusseadmete ja juhtaparatuuri tootmine"
27121,"Elektrijaotusseadmete ja juhtaparatuuri tootmine"
272,"Patareide ja akude tootmine"
2720,"Patareide ja akude tootmine"
27201,"Patareide ja akude tootmine"
273,"Juhtmestiku ja selle tarvikute tootmine"
2731,"Kiudoptilise kaabli tootmine"
27311,"Kiudoptilise kaabli tootmine"
2732,"Muu elektroonika ja elektrijuhtme või -kaabli tootmine"
27321,"Muu elektroonika ja elektrijuhtme või -kaabli tootmine"
2733,"Juhtmestiku tarvikute tootmine"
27331,"Juhtmestiku tarvikute tootmine"
274,"Elektriliste valgustusseadmete tootmine"
2740,"Elektriliste valgustusseadmete tootmine"
27401,"Elektriliste valgustusseadmete tootmine"
275,"Kodumasinate tootmine"
2751,"Elektriliste kodumasinate tootmine"
27511,"Elektriliste kodumasinate tootmine"
2752,"Mitteelektriliste kodumasinate tootmine"
27521,"Mitteelektriliste kodumasinate tootmine"
279,"Muude elektriseadmete tootmine"
2790,"Muude elektriseadmete tootmine"
27901,"Muude elektriseadmete tootmine"
28,"Mujal liigitamata masinate ja seadmete tootmine"
281,"Üldmasinate tootmine"
2811,"Mootorite ja turbiinide tootmine, v.a õhusõidukite, mootorsõidukite ja mootorrataste mootorid"
28111,"Mootorite ja turbiinide tootmine, v.a õhusõidukite, mootorsõidukite ja mootorrataste mootorid"
2812,"Hüdrauliliste ja pneumaatiliste jõuseadmete tootmine"
28121,"Hüdrauliliste ja pneumaatiliste jõuseadmete tootmine"
2813,"Muude pumpade ja kompressorite tootmine"
28131,"Muude pumpade ja kompressorite tootmine"
2814,"Muude kraanide ja ventiilide tootmine"
28141,"Muude kraanide ja ventiilide tootmine"
2815,"Laagrite, ajamite, hammasülekannete ja ülekandeelementide tootmine"
28151,"Laagrite, ajamite, hammasülekannete ja ülekandeelementide tootmine"
282,"Muude üldmasinate tootmine"
2821,"Ahjude, tööstusahjude ja ahjupõletite tootmine"
28211,"Ahjude, tööstusahjude ja ahjupõletite tootmine"
2822,"Tõste- ja teisaldusseadmete tootmine"
28221,"Tõste- ja teisaldusseadmete tootmine"
2823,"Kontorimasinate ja -seadmete tootmine, v.a arvutid ja arvuti välisseadmed"
28231,"Kontorimasinate ja -seadmete tootmine, v.a arvutid ja arvuti välisseadmed"
2824,"Ajamiga käsi-tööriistade tootmine"
28241,"Ajamiga käsi-tööriistade tootmine"
2825,"Tööstuslike külmutus- ja ventilatsiooniseadmete tootmine"
28251,"Tööstuslike külmutus- ja ventilatsiooniseadmete tootmine"
2829,"Mujal liigitamata üldmasinate ja mehhanismide tootmine"
28291,"Mujal liigitamata üldmasinate ja mehhanismide tootmine"
283,"Põllu- ja metsamajandusmasinate tootmine"
2830,"Põllu- ja metsamajandusmasinate tootmine"
28301,"Põllu- ja metsamajandusmasinate tootmine"
284,"Metallistantside ja muude tööpinkide tootmine"
2841,"Metallistantside tootmine"
28411,"Metallistantside tootmine"
2849,"Muude tööpinkide tootmine"
28491,"Muude tööpinkide tootmine"
289,"Muude erimasinate tootmine"
2891,"Metallurgiamasinate tootmine"
28911,"Metallurgiamasinate tootmine"
2892,"Kaevandus-, karjääri- ja ehitusmasinate tootmine"
28921,"Kaevandus-, karjääri- ja ehitusmasinate tootmine"
2893,"Toiduaine-, joogi- ja tubakatööstusmasinate tootmine"
28931,"Toiduaine-, joogi- ja tubakatööstusmasinate tootmine"
2894,"Tekstiili-, rõiva- ja nahatööstusmasinate tootmine"
28941,"Tekstiili-, rõiva- ja nahatööstusmasinate tootmine"
2895,"Paberi- ja papitööstusmasinate tootmine"
28951,"Paberi- ja papitööstusmasinate tootmine"
2896,"Plasti- ja kummitööstusmasinate tootmine"
28961,"Plasti- ja kummitööstusmasinate tootmine"
2899,"Mujal liigitamata erimasinate tootmine"
28991,"Mujal liigitamata erimasinate tootmine"
29,"Mootorsõidukite, haagiste ja poolhaagiste tootmine"
291,"Mootorsõidukite tootmine"
2910,"Mootorsõidukite tootmine"
29101,"Mootorsõidukite tootmine"
292,"Mootorsõidukikerede tootmine; haagiste ja poolhaagiste tootmine"
2920,"Mootorsõidukikerede tootmine; haagiste ja poolhaagiste tootmine"
29201,"Mootorsõidukikerede tootmine"
29202,"Haagiste, poolhaagiste ning konteinerite tootmine"
293,"Mootorsõidukite osade ja lisaseadmete tootmine"
2931,"Mootorsõidukite elektri- ja elektroonikaseadmete tootmine"
29311,"Mootorsõidukite elektri- ja elektroonikaseadmete tootmine"
2932,"Mootorsõidukite muude osade ja lisaseadmete tootmine"
29321,"Mootorsõidukite muude osade ja lisaseadmete tootmine"
30,"Muude transpordivahendite tootmine"
301,"Laeva- ja paadiehitus"
3011,"Laevade ja ujuvkonstruktsioonide ehitus"
30111,"Laevade ehitus"
30112,"Ujuvkonstruktsioonide ehitus"
3012,"Lõbusõidu- ja sportpaatide ehitus"
30121,"Lõbusõidu- ja sportpaatide ehitus"
302,"Raudteevedurite ja -veeremi tootmine"
3020,"Raudteevedurite ja -veeremi tootmine"
30201,"Raudteevedurite ja -veeremi tootmine"
303,"Õhu- ja kosmosesõidukite jms tootmine"
3030,"Õhu- ja kosmosesõidukite jms tootmine"
30301,"Õhu- ja kosmosesõidukite jms tootmine"
304,"Militaarveokite tootmine"
3040,"Militaarveokite tootmine"
30401,"Militaarveokite tootmine"
309,"Mujal liigitamata transpordivahendite tootmine"
3091,"Mootorrataste tootmine"
30911,"Mootorrataste tootmine"
3092,"Jalgrataste ja invasõidukite tootmine"
30921,"Jalgrataste ja invasõidukite tootmine"
3099,"Muude mujal liigitamata transpordivahendite tootmine"
30991,"Muude mujal liigitamata transpordivahendite tootmine"
31,"Mööblitootmine"
310,"Mööblitootmine"
3101,"Kontori- ja kauplusemööbli tootmine"
31011,"Kontori- ja kauplusemööbli tootmine"
3102,"Köögimööbli tootmine"
31021,"Köögimööbli tootmine"
3103,"Madratsitootmine"
31031,"Madratsitootmine"
3109,"Muu mööbli tootmine"
31091,"Mujal liigitamata mööbli tootmine"
31092,"Mööbliosade tootmine"
32,"Muu tootmine"
321,"Väärisesemete, ehete jms toodete tootmine"
3211,"Müntide vermimine"
32111,"Müntide vermimine"
3212,"Väärisesemete jms toodete tootmine"
32121,"Väärisesemete jms toodete tootmine"
3213,"Juveeltoodete imitatsioonide jms tootmine"
32131,"Juveeltoodete imitatsioonide jms tootmine"
322,"Muusikariistade tootmine"
3220,"Muusikariistade tootmine"
32201,"Muusikariistade tootmine"
323,"Sporditarvete tootmine"
3230,"Sporditarvete tootmine"
32301,"Sporditarvete tootmine"
324,"Mängude ja mänguasjade tootmine"
3240,"Mängude ja mänguasjade tootmine"
32401,"Mängude ja mänguasjade tootmine"
325,"Meditsiini- ja hambaraviinstrumentide ning materjalide tootmine"
3250,"Meditsiini- ja hambaraviinstrumentide ning materjalide tootmine"
32501,"Ortopeediliste abivahendite ja nende osade tootmine"
32502,"Prillide, läätsede ja nende osade tootmine"
32509,"Muu meditsiini- ja hambaraviinstrumentide ja materjalide tootmine"
329,"Mujal liigitamata tootmine"
3291,"Harja-, pintsli- ja luuatootmine"
32911,"Harja-, pintsli- ja luuatootmine"
3299,"Muu mujal liigitamata tootmine"
32991,"Muu mujal liigitamata tootmine"
33,"Masinate ja seadmete remont ja paigaldus"
331,"Metalltoodete, masinate ja seadmete remont"
3311,"Metalltoodete remont"
33111,"Metalltoodete remont"
3312,"Masinate ja seadmete remont"
33121,"Masinate ja seadmete remont"
3313,"Elektroonika- ja optikaseadmete remont"
33131,"Elektroonika- ja optikaseadmete remont"
3314,"Elektriseadmete remont"
33141,"Elektriseadmete remont"
3315,"Laevade ja paatide remont ja hooldus"
33151,"Laevade ja paatide remont ja hooldus"
3316,"Õhu- ja kosmosesõidukite remont ja hooldus"
33161,"Õhu- ja kosmosesõidukite remont ja hooldus"
3317,"Muude transpordivahendite remont ja hooldus"
33171,"Muude transpordivahendite remont ja hooldus"
3319,"Muude seadmete remont"
33191,"Muude seadmete remont"
332,"Tööstuslike masinate ja seadmete paigaldus"
3320,"Tööstuslike masinate ja seadmete paigaldus"
33201,"Tööstuslike masinate ja seadmete paigaldus"
35,"Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine"
351,"Elektrienergia tootmine, ülekanne ja jaotus"
3511,"Elektrienergia tootmine"
35111,"Elektrienergia tootmine mittetaastuvast energiaallikast"
35112,"Elektrienergia tootmine hüdroenergiast"
35113,"Elektrienergia tootmine tuuleenergiast"
35119,"Muu elektrienergia tootmine (sh biomassist)"
3512,"Elektrienergia ülekanne"
35121,"Elektrienergia ülekanne"
3513,"Elektrienergia jaotus"
35131,"Elektrienergia jaotus"
3514,"Elektrienergia müük"
35141,"Elektrienergia müük"
352,"Gaasitootmine; gaaskütuste jaotus magistraalvõrkude kaudu"
3521,"Gaasitootmine"
35211,"Gaasitootmine"
3522,"Gaaskütuste jaotus magistraalvõrkude kaudu"
35221,"Maagaasi ülekanne ja jaotus maagaasivõrgu kaudu"
3523,"Gaasimüük magistraalvõrkude kaudu"
35231,"Gaasimüük magistraalvõrkude kaudu"
353,"Auru ja konditsioneeritud õhuga varustamine"
3530,"Auru ja konditsioneeritud õhuga varustamine"
35301,"Auru ja konditsioneeritud õhuga varustamine"
36,"Veekogumine, -töötlus ja -varustus"
360,"Veekogumine, -töötlus ja -varustus"
3600,"Veekogumine, -töötlus ja -varustus"
36001,"Veekogumine, -töötlus ja -varustus"
37,"Kanalisatsioon"
370,"Kanalisatsioon"
3700,"Kanalisatsioon"
37001,"Kanalisatsioon ja heitveekäitlus"
38,"Jäätmekogumine, -töötlus ja -kõrvaldus; materjalide taaskasutusele võtmine"
381,"Jäätmekogumine"
3811,"Tavajäätmete kogumine"
38111,"Tavajäätmete kogumine"
3812,"Ohtlike jäätmete kogumine"
38121,"Ohtlike jäätmete kogumine"
382,"Jäätmetöötlus ja -kõrvaldus"
3821,"Tavajäätmete töötlus ja kõrvaldus"
38211,"Tavajäätmete töötlus ja kõrvaldus"
3822,"Ohtlike jäätmete töötlus ja kõrvaldus"
38221,"Ohtlike jäätmete töötlus ja kõrvaldus"
383,"Materjalide taaskasutusele võtmine"
3831,"Vrakkide demonteerimine"
38311,"Vrakkide demonteerimine"
3832,"Sorteeritud materjali taaskasutusele võtmine"
38321,"Sorteeritud materjali taaskasutusele võtmine"
39,"Saastekäitlus ja muud jäätmekäitlustegevused"
390,"Saastekäitlus ja muud jäätmekäitlustegevused"
3900,"Saastekäitlus ja muud jäätmekäitlustegevused"
39001,"Saastekäitlus ja muud jäätmekäitlustegevused"
41,"Hoonete ehitus"
411,"Hoonestusprojektide arendus"
4110,"Hoonestusprojektide arendus"
41101,"Hoonestusprojektide arendus"
412,"Elamute ja mitteeluhoonete ehitus"
4120,"Elamute ja mitteeluhoonete ehitus"
41201,"Elamute ja mitteeluhoonete ehitus"
42,"Rajatiste ehitus"
421,"Teede ja raudteede ehitus"
4211,"Teede ja kiirteede ehitus"
42111,"Teede ja kiirteede ehitus"
4212,"Raudteede ja metroo ehitus"
42121,"Raudteede ja metroo ehitus, hooldus ja remont"
4213,"Silla- ja tunneliehitus"
42131,"Silla- ja tunneliehitus"
422,"Tehnovõrgutrasside ehitus"
4221,"Vee-, gaasi- ja kanalisatsioonitrasside ehitus"
42211,"Vee-, gaasi- ja kanalisatsioonitrasside ehitus"
42212,"Kaevude puurimine"
4222,"Elektri- ja sidevõrkude ehitus"
42221,"Elektri- ja sidevõrkude ehitus"
429,"Muude rajatiste ehitus"
4291,"Vesiehitus"
42911,"Vesiehitus"
4299,"Mujal liigitamata rajatiste ehitus"
42991,"Mujal liigitamata rajatiste ehitus"
43,"Eriehitustööd"
431,"Lammutamine ja ehitusplatside ettevalmistus"
4311,"Lammutamine"
43111,"Lammutamine"
4312,"Ehitusplatside ettevalmistus"
43121,"Ehitusplatside ettevalmistus ja puhastus"
43122,"Maakuivendus- ja maaparandustööd, k.a metsa- ja põllumaade kuivendus"
43129,"Muud kaeve- ja mullatööd"
4313,"Kontrollpuurimine ja sondimine"
43131,"Kontrollpuurimine ja sondimine"
432,"Elektriinstallatsioon ja torustiku paigaldus jm ehituspaigaldustööd"
4321,"Elektriinstallatsioon"
43211,"Elektrijuhtmete ja -seadmete paigaldus"
43212,"Tulekahjualarmide, häire- ja valvesignalisatsiooni paigaldus"
43213,"Telekommunikatsioonikaablite ja antennide paigaldus"
4322,"Torustiku, kütte- ja kliimaseadmete paigaldus"
43221,"Kütte-, ventilatsiooni- ja kliimaseadmete paigaldus"
43222,"Veetorustiku ja sanitaarseadmete paigaldus"
4329,"Muud ehituspaigaldustööd"
43291,"Isolatsioonitööd"
43299,"Mujal liigitamata ehituspaigaldustööd"
433,"Ehitiste viimistlus ja lõpetamine"
4331,"Krohvimine"
43311,"Krohvimine"
4332,"Ehituspuusepatoodete paigaldus"
43321,"Mistahes materjalist akende, uste ja treppide paigaldus"
43329,"Muude ehituspuusepatoodete paigaldus"
4333,"Põranda- ja seinakatete paigaldus"
43331,"Põranda- ja seinakatete paigaldus"
4334,"Värvimine ja klaasimine"
43341,"Värvimine ja klaasimine"
4339,"Muu ehitiste viimistlus ja lõpetamine"
43391,"Muu ehitiste viimistlus ja lõpetamine"
439,"Muud eriehitustööd"
4391,"Katusetööd"
43911,"Katusetööd"
4399,"Muud mujal liigitamata eriehitustööd"
43991,"Vundamendi-, betooni- jm müüritööd"
43992,"Pottsepatööd. ahjude ja kaminate tegemine, k.a tööstuskorstnate ja -ahjude ladumine"
43993,"Tellingute ja tööplatvormide püstitus ja demonteerimine. ehitus- ja tõsteseadmete rentimine koos"
43999,"Muud eriehitustööd"
45,"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont"
451,"Mootorsõidukite müük"
4511,"Sõiduautode ja väikebusside (täismassiga alla 3,5 t) müük"
45111,"Sõiduautode ja väikebusside (täismassiga alla 3,5 t) müük"
4519,"Muude mootorsõidukite müük"
45191,"Muude mootorsõidukite müük"
452,"Mootorsõidukite hooldus ja remont"
4520,"Mootorsõidukite hooldus ja remont"
45201,"Mootorsõidukite hooldus ja remont"
45202,"Autopesu jms teenindus"
453,"Mootorsõidukite osade ja lisaseadmete müük"
4531,"Mootorsõidukite osade ja lisaseadmete hulgimüük"
45311,"Mootorsõidukite osade ja lisaseadmete hulgimüük"
4532,"Mootorsõidukite osade ja lisaseadmete jaemüük"
45321,"Mootorsõidukite osade ja lisaseadmete jaemüük"
454,"Mootorrataste, nende osade ja lisaseadmete müük, hooldus ja remont"
4540,"Mootorrataste, nende osade ja lisaseadmete müük, hooldus ja remont"
45401,"Mootorrataste, nende osade ja lisaseadmete müük, hooldus ja remont"
46,"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad"
461,"Hulgimüük vahendustasu või lepingute alusel"
4611,"Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete vahendamine"
46111,"Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete vahendamine"
4612,"Kütuse, maakide, metallide ja tööstuskemikaalide vahendamine"
46121,"Kütuse, maakide, metallide ja tööstuskemikaalide vahendamine"
4613,"Puidu ja ehitusmaterjalide vahendamine"
46131,"Puidu ja ehitusmaterjalide vahendamine"
4614,"Masinate, tööstusseadmete, laevade ja õhusõidukite vahendamine"
46141,"Masinate, tööstusseadmete, laevade ja õhusõidukite vahendamine"
4615,"Mööbli, kodutarvete ja rauakaupade vahendamine"
46151,"Mööbli, kodutarvete ja rauakaupade vahendamine"
4616,"Tekstiili, rõivaste, jalatsite ja nahktoodete vahendamine"
46161,"Tekstiili, rõivaste, jalatsite ja nahktoodete vahendamine"
4617,"Toidukaupade, jookide ja tubakatoodete vahendamine"
46171,"Toidukaupade, jookide ja tubakatoodete vahendamine"
4618,"Muude kindlate kaupade vahendamine"
46181,"Muude kindlate kaupade vahendamine"
4619,"Mitmesuguste erinevate kaupade vahendamine"
46191,"Mitmesuguste erinevate kaupade vahendamine"
462,"Põllumajandustoorme ja elusloomade hulgimüük"
4621,"Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük"
46211,"Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük"
4622,"Lillede ja taimede hulgimüük"
46221,"Lillede ja taimede hulgimüük"
4623,"Elusloomade hulgimüük"
46231,"Elusloomade hulgimüük"
4624,"Toor- ja parknaha hulgimüük"
46241,"Toor- ja parknaha hulgimüük"
463,"Toidukaupade, jookide ja tubakatoodete hulgimüük"
4631,"Puu- ja köögivilja hulgimüük"
46311,"Puu- ja köögivilja hulgimüük"
4632,"Liha ja lihatoodete hulgimüük"
46321,"Liha ja lihatoodete hulgimüük"
4633,"Piimatoodete, munade, toiduõli ja -rasva hulgimüük"
46331,"Piimatoodete, munade, toiduõli ja -rasva hulgimüük"
4634,"Jookide hulgimüük"
46341,"Alkoholjookide hulgimüük"
46342,"Muude jookide hulgimüük"
4635,"Tubakatoodete hulgimüük"
46351,"Tubakatoodete hulgimüük"
4636,"Suhkru, šokolaadi ja suhkrukondiitritoodete hulgimüük"
46361,"Suhkru, šokolaadi, kondiitri- ja pagaritoodete hulgimüük"
4637,"Kohvi, tee, kakao ja maitseainete hulgimüük"
46371,"Kohvi, tee, kakao ja maitseainete hulgimüük"
4638,"Muude toidukaupade hulgimüük, k.a kalad, vähilaadsed ja limused"
46381,"Kalade, vähilaadsete ja kalatoodete hulgimüük"
46389,"Mujal liigitamata toidukaupade hulgimüük"
4639,"Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük"
46391,"Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük"
464,"Kodutarvete hulgimüük"
4641,"Tekstiiltoodete hulgimüük"
46411,"Kangaste, kodutekstiili ja õmblustarvete hulgimüük"
4642,"Rõivaste ja jalatsite hulgimüük"
46421,"Rõivaste ja rõivalisandite hulgimüük"
46422,"Jalatsite hulgimüük"
4643,"Elektriliste kodumasinate hulgimüük"
46431,"Elektriliste kodumasinate hulgimüük"
4644,"Portselani ja klaastoodete ning puhastusvahendite hulgimüük"
46441,"Portselani ja klaastoodete hulgimüük"
46442,"Puhastusvahendite hulgimüük"
4645,"Parfüümide ja kosmeetika hulgimüük"
46451,"Parfüümide ja kosmeetika hulgimüük"
4646,"Farmaatsiatoodete hulgimüük"
46461,"Ravimite ja muude apteegikaupade hulgimüük"
46462,"Meditsiiniseadmete ja kirurgiriistade ning ortopeediliste abivahendite hulgimüük"
4647,"Mööbli, vaipade ja valgustite hulgimüük"
46471,"Mööbli, vaipade ja valgustite hulgimüük"
4648,"Kellade ja ehete hulgimüük"
46481,"Kellade ja ehete hulgimüük"
4649,"Muude kodutarvete hulgimüük"
46491,"Paberi, kirjatarvete, raamatute ja ajakirjandusväljaannete hulgimüük"
46492,"Spordikaupade hulgimüük (v.a spordirõivad ja -jalatsid)"
46493,"Mängude ja mänguasjade hulgimüük"
46499,"Mujal liigitamata kodutarvete hulgimüük"
465,"Info- ja sidetehnika hulgimüük"
4651,"Arvutite, arvuti välisseadmete ja tarkvara hulgimüük"
46511,"Arvutite, arvuti välisseadmete ja tarkvara hulgimüük"
4652,"Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük"
46521,"Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük"
466,"Muude masinate, seadmete ja lisaseadmete hulgimüük"
4661,"Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük"
46611,"Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük"
4662,"Tööpinkide hulgimüük"
46621,"Tööpinkide hulgimüük"
4663,"Kaevandus- ja ehitusmasinate hulgimüük"
46631,"Kaevandus- ja ehitusmasinate hulgimüük"
4664,"Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük"
46641,"Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük"
4665,"Kontorimööbli hulgimüük"
46651,"Kontorimööbli hulgimüük"
4666,"Muude kontorimasinate ja -seadmete hulgimüük"
46661,"Muude kontorimasinate ja -seadmete hulgimüük"
4669,"Muude masinate, seadmete ja lisaseadmete hulgimüük"
46691,"Tõste- ja teisaldusseadmete ja -masinate ning nende varuosade hulgimüük (k.a konteinerid)"
46692,"Elektrimaterjalide, -tarvikute ja -seadmete hulgimüük, sh kaablid"
46693,"Toiduainetööstus- ja kaubandusseadmete hulgimüük"
46699,"Muude üld- ja eriotstarbeliste masinate ja seadmete hulgimüük"
467,"Muu spetsialiseeritud hulgimüük"
4671,"Tahke-, vedel- ja gaaskütuse jms toodete hulgimüük"
46711,"Tahkekütuse hulgimüük"
46712,"Mootorikütuse hulgimüük"
46719,"Muu vedel- ja gaaskütuse hulgimüük"
4672,"Metallide ja metallimaakide hulgimüük"
46721,"Metallide ja metallimaakide hulgimüük"
4673,"Puidu, ehitusmaterjalide ja sanitaarseadmete hulgimüük"
46731,"Puidu ja puidu esmatöötlustoodete hulgimüük"
46732,"Sanitaarseadmete jm ehitusmaterjalide hulgimüük"
4674,"Rauakaupade, veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük"
46741,"Veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük"
46749,"Tööriistade jm rauakaupade hulgimüük"
4675,"Keemiatoodete hulgimüük"
46751,"Väetiste ja agrokeemiatoodete hulgimüük"
46759,"Muude keemiatoodete hulgimüük"
4676,"Muude vahetoodete hulgimüük"
46761,"Muude vahetoodete hulgimüük"
4677,"Jäätmete ja jääkide hulgikaubandus"
46771,"Jäätmete ja jääkide hulgikaubandus, taara ja pakendite kokkuost"
469,"Spetsialiseerimata hulgikaubandus"
4690,"Spetsialiseerimata hulgikaubandus"
46901,"Spetsialiseerimata hulgikaubandus"
47,"Jaekaubandus, v.a mootorsõidukid ja mootorrattad"
471,"Jaemüük spetsialiseerimata kauplustes"
4711,"Jaemüük spetsialiseerimata kauplustes, kus on ülekaalus toidukaubad, joogid ja tubakatooted"
47111,"Jaemüük spetsialiseerimata kauplustes, kus on ülekaalus toidukaubad, joogid ja tubakatooted"
4719,"Jaemüük muudes spetsialiseerimata kauplustes"
47191,"Jaemüük muudes spetsialiseerimata kauplustes"
472,"Toidukaupade, jookide ja tubakatoodete jaemüük spetsialiseeritud kauplustes"
4721,"Puu- ja köögivilja jaemüük"
47211,"Puu- ja köögivilja jaemüük"
4722,"Liha ja lihatoodete jaemüük"
47221,"Liha ja lihatoodete jaemüük"
4723,"Kala, vähilaadsete ja limuste jaemüük"
47231,"Kala, vähilaadsete ja limuste jaemüük"
4724,"Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük"
47241,"Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük"
4725,"Jookide jaemüük"
47251,"Jookide jaemüük"
4726,"Tubakatoodete jaemüük"
47261,"Tubakatoodete jaemüük"
4729,"Muu toidukaupade jaemüük"
47291,"Muu toidukaupade jaemüük"
473,"Mootorikütuse jaemüük"
4730,"Mootorikütuse jaemüük"
47301,"Mootorikütuse jaemüük, sh tanklate tegevus"
474,"Info- ja sidetehnika jaemüük spetsialiseeritud kauplustes"
4741,"Arvutite, arvuti välisseadmete ja tarkvara jaemüük"
47411,"Arvutite, arvuti välisseadmete ja tarkvara jaemüük"
4742,"Telekommunikatsiooniseadmete jaemüük"
47421,"Telekommunikatsiooniseadmete jaemüük"
4743,"Heli- ja videoseadmete jaemüük"
47431,"Heli- ja videoseadmete jaemüük"
475,"Muude kodutarvete jaemüük spetsialiseeritud kauplustes"
4751,"Tekstiiltoodete jaemüük"
47511,"Tekstiiltoodete jaemüük"
4752,"Rauakaupade, värvide ja klaasi jaemüük"
47521,"Rauakaupade ja tööriistade jaemüük"
47522,"Veevarustus- ja sanitaarseadmete ning nende koosteosade jaemüük"
47529,"Muude ehitusmaterjalide ja -tarvete jaemüük"
4753,"Vaipade, mattide, seina- ja põrandakatete jaemüük"
47531,"Vaipade, mattide, seina- ja põrandakatete jaemüük"
4754,"Elektriliste kodumasinate jaemüük"
47541,"Elektriliste kodumasinate jaemüük"
4759,"Mööbli, valgustite ja mujal liigitamata kodutarvete jaemüük"
47591,"Mööbli ja valgustite jaemüük"
47599,"Muude mujal liigitamata kodutarvete jaemüük"
476,"Kultuuri- ja vaba aja kaupade jaemüük spetsialiseeritud kauplustes"
4761,"Raamatute jaemüük"
47611,"Raamatute jaemüük"
4762,"Ajalehtede ja kirjatarvete jaemüük"
47621,"Ajalehtede ja kirjatarvete jaemüük"
4763,"Muusika- ja videosalvestiste jaemüük"
47631,"Muusika- ja videosalvestiste jaemüük"
4764,"Sporditarvete jaemüük"
47641,"Sporditarvete jaemüük"
4765,"Mängude ja mänguasjade jaemüük"
47651,"Mängude ja mänguasjade jaemüük"
477,"Muude kaupade jaemüük spetsialiseeritud kauplustes"
4771,"Rõivaste jaemüük"
47711,"Rõivaste jaemüük"
4772,"Jalatsite ja nahktoodete jaemüük"
47721,"Jalatsite ja nahktoodete jaemüük"
4773,"Apteekide tegevus"
47731,"Apteekide tegevus"
4774,"Meditsiini- ja ortopeediakaupade jaemüük"
47741,"Meditsiini- ja ortopeediakaupade jaemüük"
4775,"Kosmeetika ja tualetitarvete jaemüük"
47751,"Kosmeetika ja tualetitarvete jaemüük"
4776,"Lillede, taimede, seemnete, väetiste, lemmikloomade ja lemmikloomatoidu jaemüük"
47761,"Lillede, taimede, seemnete, väetiste, lemmikloomade ja lemmikloomatoidu jaemüük"
47762,"Lemmikloomade ja -lindude ning nende toidu ja tarvete jaemüük"
4777,"Kellade ja ehete jaemüük"
47771,"Kellade ja ehete jaemüük"
4778,"Muude uute kaupade jaemüük spetsialiseeritud kauplustes"
47781,"Prillide jm optikakaupade jaemüük"
47782,"Fotokaupade jaemüük"
47783,"Meenete, kunstiesemete ja -tarvete jaemüük"
47789,"Mujal liigitamata kaupade jaemüük"
4779,"Kasutatud kaupade jaemüük kauplustes"
47791,"Antiikesemete jaemüük"
47792,"Kasutatud raamatute jaemüük"
47799,"Muude kasutatud kaupade jaemüük"
478,"Jaemüük kioskites ja turgudel"
4781,"Toidukaupade, jookide ja tubakatoodete jaemüük kioskites ja turgudel"
47811,"Toidukaupade, jookide ja tubakatoodete jaemüük kioskites ja turgudel"
4782,"Tekstiili, rõivaste ja jalatsite jaemüük kioskites ja turgudel"
47821,"Tekstiili, rõivaste ja jalatsite jaemüük kioskites ja turgudel"
4789,"Muude kaupade jaemüük kioskites ja turgudel"
47891,"Muude kaupade jaemüük kioskites ja turgudel"
479,"Jaemüük väljaspool kauplusi, kioskeid ja turge"
4791,"Jaemüük posti või interneti teel"
47911,"Jaemüük posti või interneti teel"
4799,"Muu jaemüük väljaspool kauplusi, kioskeid ja turge"
47991,"Muu jaemüük väljaspool kauplusi, kioskeid ja turge"
49,"Maismaaveondus ja torutransport"
491,"Sõitjate linnadevaheline raudteevedu"
4910,"Sõitjate linnadevaheline raudteevedu"
49101,"Sõitjate raudteevedu"
